predicted_utilization,dynamic_tariff,baseline_tariff,revenue_dynamic,revenue_baseline,simulated_utilization
1.0,22.5,15.0,892.8937500750001,595.2625000500001,0.85
0.3333333333333329,11.29999999999999,15.0,19.774999999999984,26.25,0.3333333333333329
1.0,22.5,15.0,763.65625005,509.10416670000006,0.85
1.0,22.5,15.0,205.2749999925,136.849999995,0.85
1.0,22.5,15.0,1485.3750000750001,990.2500000500002,0.85
0.2009905660377358,10.5,15.0,52.062499996499994,74.374999995,0.24118867924528295
1.0,22.5,15.0,236.25,157.5,0.85
1.0,22.5,15.0,492.1875,328.125,0.85
1.0,22.5,15.0,971.6437500750001,647.7625000500001,0.85
0.2641509433962268,10.5,15.0,85.75000000349999,122.50000000499999,0.3169811320754721
1.0,22.5,15.0,56.7875000025,37.858333335000005,0.85
1.0,22.5,15.0,682.499999925,454.99999994999996,0.85
0.045,10.5,15.0,0.0,0.0,0.054
1.0,22.5,15.0,748.6875,499.125,0.85
1.0,22.5,15.0,39.375,26.25,0.85
0.0134999999999999,10.5,15.0,0.0,0.0,0.016199999999999878
0.1666666666666664,10.5,15.0,12.2500000035,17.500000005,0.19999999999999968
1.0,22.5,15.0,6239.99999925,4159.9999995,0.85
0.2339999999999994,10.5,15.0,18.375,26.25,0.2807999999999993
1.0,22.5,15.0,249.374999925,166.24999995000002,0.85
1.0,22.5,15.0,164.0625000075,109.375000005,0.85
0.0077777777777777,10.5,15.0,0.0,0.0,0.00933333333333324
1.0,22.5,15.0,393.75,262.5,0.85
1.0,22.5,15.0,78.75,52.5,0.85
0.4749714711602492,14.69931530784598,15.0,263.526058357215,268.9166667,0.4749714711602492
1.0,22.5,15.0,183.75000000749998,122.50000000499999,0.85
0.0,10.5,15.0,0.0,0.0,0.0
0.5776291025172091,17.163098460413018,15.0,255.30108959864364,223.125,0.5776291025172091
0.6103048250706302,17.947315801695126,15.0,115.16194306685951,96.250000005,0.6103048250706302
0.25,10.5,15.0,6.1249999965,8.749999995,0.3
1.0,22.5,15.0,623.437499925,415.62499994999996,0.85
0.9995833333333332,22.5,15.0,223.12500000749998,148.750000005,0.8496458333333332
1.0,22.5,15.0,12057.624999,8038.416666,0.85
1.0,22.5,15.0,209.99999999250002,139.999999995,0.85
1.0,22.5,15.0,564.374999925,376.24999994999996,0.85
1.0,22.5,15.0,236.25,157.5,0.85
1.0,22.5,15.0,816.562500075,544.3750000499999,0.85
1.0,22.5,15.0,3313.125,2208.75,0.85
0.7766666666666667,21.94,15.0,51.19333332602,34.999999995,0.7766666666666667
0.5738333333333333,17.072,15.0,29.875999999999998,26.25,0.5738333333333333
1.0,22.5,15.0,218.749999995,145.83333333,0.85
1.0,22.5,15.0,203.43750000749998,135.625000005,0.85
0.0896611923413061,10.5,15.0,24.4999999965,34.999999995,0.1075934308095673
1.0,22.5,15.0,105.0000000075,70.000000005,0.85
1.0,22.5,15.0,91.8749999925,61.249999994999996,0.85
0.9166666666666674,22.5,15.0,1125.0,750.0,0.7791666666666672
1.0,22.5,15.0,8582.625,5721.75,0.85
1.0,22.5,15.0,568.125,378.75,0.85
1.0,22.5,15.0,8201.925,5467.95,0.85
0.3483333333333331,11.659999999999995,15.0,3.4008333372199986,4.3750000049999995,0.3483333333333331
1.0,22.5,15.0,301.875000075,201.25000004999998,0.85
0.9989655172413794,22.5,15.0,401.24999992499994,267.49999994999996,0.8491206896551725
0.5023774509803921,15.35705882352941,15.0,134.37426470588235,131.25,0.5023774509803921
0.1666666666666664,10.5,15.0,6.1249999965,8.749999995,0.19999999999999968
0.833333333333333,22.5,15.0,65.62500000749999,43.750000005,0.708333333333333
0.99,22.5,15.0,26.250000007500002,17.500000005,0.8415
1.0,22.5,15.0,124.6875000075,83.125000005,0.85
0.9966666666666668,22.5,15.0,78.75,52.5,0.8471666666666667
1.0,22.5,15.0,6300.0,4200.0,0.85
1.0,22.5,15.0,13.1249999925,8.749999995,0.85
0.3274999999999996,11.159999999999991,15.0,3.2550000037199975,4.3750000049999995,0.3274999999999996
0.6666666666666659,19.299999999999983,15.0,16.887499999999985,13.125,0.6666666666666659
1.0,22.5,15.0,470.1375,313.425,0.85
1.0,22.5,15.0,131.2499999925,87.499999995,0.85
1.0,22.5,15.0,2146.875000075,1431.25000005,0.85
1.0,22.5,15.0,7535.62500075,5023.7500005,0.85
1.0,22.5,15.0,652.05,434.7,0.85
1.0,22.5,15.0,980.21875005,653.4791667000001,0.85
1.0,22.5,15.0,190.31249999250002,126.87499999500001,0.85
1.0,22.5,15.0,15608.99999925,10405.9999995,0.85
1.0,22.5,15.0,65.62500000749999,43.750000005,0.85
1.0,22.5,15.0,7687.50000075,5125.0000005,0.85
0.1489361702127657,10.5,15.0,9.1875,13.125,0.17872340425531882
1.0,22.5,15.0,157.5,105.0,0.85
0.0784313725490194,10.5,15.0,24.4999999965,34.999999995,0.09411764705882328
1.0,22.5,15.0,859.687499925,573.1249999500001,0.85
0.3426666666666665,11.523999999999997,15.0,22.318146670507993,29.050000004999998,0.3426666666666665
1.0,22.5,15.0,1030.312500075,686.8750000499999,0.85
1.0,22.5,15.0,249.374999925,166.24999995000002,0.85
1.0,22.5,15.0,26.250000007500002,17.500000005,0.85
0.0416666666666665,10.5,15.0,6.1249999965,8.749999995,0.049999999999999795
0.0,10.5,15.0,0.0,0.0,0.0
0.3861666666666668,12.568000000000005,15.0,7.331333329144003,8.749999995,0.3861666666666668
1.0,22.5,15.0,98.4375,65.625,0.85
0.0492941176470587,10.5,15.0,131.25,187.5,0.059152941176470436
0.0975609756097561,10.5,15.0,15.3124999965,21.874999995,0.11707317073170731
1.0,22.5,15.0,236.25,157.5,0.85
1.0,22.5,15.0,52.4999999925,34.999999995,0.85
0.7582771356729688,21.498651256151252,15.0,263.3584778878528,183.75,0.7582771356729688
1.0,22.5,15.0,178.1250000075,118.750000005,0.85
0.5724923245614035,17.039815789473685,15.0,69.5792478013376,61.249999994999996,0.5724923245614035
1.0,22.5,15.0,1070.624999925,713.7499999500001,0.85
1.0,22.5,15.0,196.875,131.25,0.85
1.0,22.5,15.0,931.875000075,621.2500000499999,0.85
1.0,22.5,15.0,638.48749995,425.6583333,0.85
1.0,22.5,15.0,675.0,450.0,0.85
1.0,22.5,15.0,271.07500005,180.71666670000002,0.85
0.2541666666666666,10.5,15.0,49.000000003500006,70.000000005,0.3049999999999999
1.0,22.5,15.0,420.00000007500006,280.00000005000004,0.85
1.0,22.5,15.0,13.1249999925,8.749999995,0.85
0.5,15.3,15.0,47.5999999983,46.666666665,0.5
0.1856944444444444,10.5,15.0,3.0625000035,4.3750000049999995,0.2228333333333333
0.0,10.5,15.0,0.0,0.0,0.0
1.0,22.5,15.0,52.4999999925,34.999999995,0.85
1.0,22.5,15.0,2752.49999925,1834.9999995,0.85
1.0,22.5,15.0,6.5625000075,4.3750000049999995,0.85
0.6374999999999992,18.59999999999998,15.0,18.22799999999998,14.7,0.6374999999999992
0.6666666666666659,19.299999999999983,15.0,22.516666673099984,17.500000005,0.6666666666666659
1.0,22.5,15.0,471.406250025,314.27083335000003,0.85
0.1666666666666665,10.5,15.0,6.1249999965,8.749999995,0.1999999999999998
0.2333333333333334,10.5,15.0,42.874999996499994,61.249999994999996,0.2800000000000001
1.0,22.5,15.0,2479.5,1653.0,0.85
1.0,22.5,15.0,144.3750000075,96.250000005,0.85
1.0,22.5,15.0,328.124999925,218.74999995000002,0.85
1.0,22.5,15.0,105.0000000075,70.000000005,0.85
1.0,22.5,15.0,1468.125,978.75,0.85
0.8341666666666663,22.5,15.0,105.0000000075,70.000000005,0.7090416666666663
1.0,22.5,15.0,186.1125000075,124.07500000499999,0.85
0.7503535353535353,21.30848484848485,15.0,406.63691912089087,286.24999994999996,0.7503535353535353
0.9892193732193733,22.5,15.0,1462.5,975.0,0.8408364672364672
1.0,22.5,15.0,511.875,341.25,0.85
1.0,22.5,15.0,236.25,157.5,0.85
1.0,22.5,15.0,341.709374925,227.80624995,0.85
1.0,22.5,15.0,131.2499999925,87.499999995,0.85
1.0,22.5,15.0,262.500000075,175.00000004999998,0.85
0.6666666666666659,19.299999999999983,15.0,22.516666673099984,17.500000005,0.6666666666666659
1.0,22.5,15.0,253.6187499,169.0791666,0.85
1.0,22.5,15.0,1076.249999925,717.4999999500001,0.85
1.0,22.5,15.0,2021.1124999499998,1347.4083332999999,0.85
1.0,22.5,15.0,301.875000075,201.25000004999998,0.85
0.0,10.5,15.0,0.0,0.0,0.0
